,bowler,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,av.eco,over,player_dismissed,w/o
287,B Laughlin,,,,,,10.28571429,,,,,10.28571429,7,1,0.142857143
288,D Wiese,,,,,,,,8.372093023,12.25,,10.31104651,47,17,0.361702128
289,Y Venugopal Rao,9.785714286,8.2,10,13,13,,8,,,,10.33095238,36,7,0.194444444
290,SD Chitnis,10.33333333,,,,,,,,,,10.33333333,6,2,0.333333333
291,A Nel,10.33333333,,,,,,,,,,10.33333333,3,1,0.333333333
292,AP Dole,,,10.36363636,,,,,,,,10.36363636,11,5,0.454545455
293,MA Khote,10.4,,,,,,,,,,10.4,5,2,0.4
294,MS Gony,7.6,10.17647059,11.5,9.555555556,9.041666667,9.321428571,,,,16,10.45644591,148,39,0.263513514
295,NLTC Perera,,,19,8.142857143,9,8.032786885,,9.166666667,9.588235294,,10.48842433,119,37,0.31092437
296,SS Agarwal,,,,,,,,,,10.5,10.5,4,1,0.25
297,AA Kazi,,,,10.5,,,,,,,10.5,2,1,0.5
298,RG More,,,,,,,,10.5,,,10.5,6,1,0.166666667
299,AF Milne,,,,,,,,,11,10.07142857,10.53571429,18,5,0.277777778
300,VRV Singh,8.854166667,9.222222222,13.66666667,,,,,,,,10.58101852,60,16,0.266666667
301,SN Thakur,,,,,,,,13,,8.179487179,10.58974359,42,14,0.333333333
302,KC Cariappa,,,,,,,,14,9.411764706,8.466666667,10.62614379,34,8,0.235294118
303,R McLaren,,,8.264705882,10.11111111,,13.57142857,,,,,10.64908185,59,14,0.237288136
304,JDS Neesham,,,,,,,10.66666667,,,,10.66666667,9,1,0.111111111
305,Y Nagar,,10,9.333333333,13.4,10,,,,,,10.68333333,11,4,0.363636364
306,A Mithun,,10.5,13,9.558823529,11.33333333,9.25,,,,,10.72843137,48,8,0.166666667
307,GS Sandhu,,,,,,,,10.75,,,10.75,8,1,0.125
308,Kamran Khan,,7.789473684,8.833333333,15.66666667,,,,,,,10.76315789,28,14,0.5
309,R Shukla,,,,,10.66666667,10,11.66666667,,,,10.77777778,20,7,0.35
310,R Ninan,,,,10.83333333,,,,,,,10.83333333,6,3,0.5
311,P Amarnath,10.95454545,,,,,,,,,,10.95454545,22,7,0.318181818
312,RA Shaikh,,11,,,,,,,,,11,1,0,0
313,RW Price,,,,11,,,,,,,11,3,0,0
314,D Kalyankrishna,11,,,,,,,,,,11,8,2,0.25
315,MB Parmar,,,11,,,,,,,,11,3,0,0
316,S Vidyut,11,,,,,,,,,,11,2,1,0.5
317,LJ Wright,,,,,12,10.1,,,,,11.05,12,2,0.166666667
318,AUK Pathan,,,,8.166666667,14,,,,,,11.08333333,7,0,0
319,Shivam Sharma,,,,,,,7.5625,14.66666667,,,11.11458333,19,4,0.210526316
320,L Ablish,,,9.25,13,,,,,,,11.125,7,5,0.714285714
321,A Uniyal,,,11.16666667,,,,,,,,11.16666667,6,3,0.5
322,JJ van der Wath,,,,11.16666667,,,,,,,11.16666667,12,3,0.25
323,LMP Simmons,,,,,,,11.33333333,,,,11.33333333,3,1,0.333333333
324,KJ Abbott,,,,,,,,,11.375,,11.375,16,2,0.125
325,B Geeves,11.375,,,,,,,,,,11.375,8,2,0.25
326,K Santokie,,,,,,,11.375,,,,11.375,8,3,0.375
327,SA Abbott,,,,,,,,11.4,,,11.4,5,0,0
328,TP Sudhindra,,,,,11.41666667,,,,,,11.41666667,12,1,0.083333333
329,BB Sran,,,,,,,,12,8.4,14.5,11.63333333,55,14,0.254545455
330,PC Valthaty,,,,7.64,16,,,,,,11.82,26,7,0.269230769
331,MK Tiwary,,11,11,11.5,,,14,,,,11.875,6,1,0.166666667
332,RA Tripathi,,,,,,,,,,12,12,1,0,0
333,RR Bose,,12,,,,,,,,,12,2,0,0
334,LRPL Taylor,,13,,11,,,,,,,12,2,0,0
335,BJ Rohrer,,,,,,12,,,,,12,1,0,0
336,J Suchith,,,,,,,,8.666666667,15.5,,12.08333333,41,10,0.243902439
337,SB Wagh,,,16,8.1875,,,,,,,12.09375,17,5,0.294117647
338,VS Yeligati,12.2,,,,,,,,,,12.2,5,0,0
339,V Sehwag,12.18181818,25,3.833333333,,11.25,9,,,,,12.2530303,23,6,0.260869565
340,C Ganapathy,,,13,,,,,,,,13,1,0,0
341,MJ Henry,,,,,,,,,,14.2,14.2,5,2,0.4
342,Abdur Razzak,14.5,,,,,,,,,,14.5,2,0,0
343,Mashrafe Mortaza,,14.75,,,,,,,,,14.75,4,1,0.25
344,CL White,24,,19,,9,8,,,,,15,7,1,0.142857143
345,MG Neser,,,,,,15.5,,,,,15.5,4,0,0
346,Sunny Gupta,,,,,15.66666667,,,,,,15.66666667,3,0,0
347,F du Plessis,,,,,16,,,,,,16,1,0,0
348,CK Kapugedera,16.33333333,,,,,,,,,,16.33333333,3,0,0
349,RR Bhatkal,,,,,17.5,,,,,,17.5,2,0,0
350,P Prasanth,,,,18,,,,,,,18,1,0,0
351,S Sriram,,,12,25,,,,,,,18.5,3,0,0
352,V Shankar,,,,,,,19,,,,19,1,0,0
353,B Chipli,,,,20,,,,,,,20,1,0,0
354,LPC Silva,21,,,,,,,,,,21,1,0,0
355,I Malhotra,,,,23,,,,,,,23,1,0,0
