Player,Team 2017,Base.P 2017,Auction.P 2017,Team 2011,Base.P 2011,Auction.P 2011,Team 2014,Base.P 2014,Auction.P 2014,Team 2008,Base.P 2008,Auction.P 2008,Nationality,Speciality,Team 2010_x,Auction.P 2010,Base.P 2010,Team 2010_y,Base.P 2013,Auction.P 2013,Team 2016,Base.P 2016,Auction.P 2016,Team 2019,Base.P 2019,Auction.P 2019,Playing Role_x,Base.P 2015,Team 2015,Auction.P 2015,Playing Role_y,Base.P 2018,Team 2018,Auction.P 2018,Team 2012,Base.P 2012,Auction.P 2012,Team 2009,Auction.P 2009,Base.P 2009
Joginder Sharma,,,,Chennai Super Kings,,,,,,Chennai Super Kings,100.0,225.0,India,Allrounder,,,,,,,,,,,,,,,,,,,,,,,,,,
Charl Langeveldt,,,,Royal Challengers Bangalore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohammad Kaif,,,,Royal Challengers Bangalore,,,,,,Rajasthan Royals,125.0,675.0,India,Batsman,Kings XI Punjab,250000.0,100000.0,,,,,,,,,,,,,,,,,,,,,,,
Francois du Plessis,,,,Chennai Super Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clint McKay,,,,Mumbai Indians,,,,,,,,,,,,,,Sunrisers Hyderabad,"$100,000","$100,000",,,,,,,,,,,,,,,,,,,,
Nathan McCullum,,,,Pune Warriors India,,,,,,,,,,,,,,Sunrisers Hyderabad,"$100,000","$100,000",,,,,,,,,,,,,,,,,,,,
James Franklin,,,,Mumbai Indians,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wriddhiman Saha,,,,Chennai Super Kings,,,Kings XI Punjab,100.0,220.0,,,,,,,,,,,,,,,Sunrisers Hyderabad,100.0,120.0,Wicketkeeper,,,,Wicketkeeper,100.0,Sunrisers Hyderabad,500.0,,,,,,
Jerome Taylor,,,,Pune Warriors India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kings XI Punjab,"$150,000","$150,000"
James Pattinson,,,,Kolkata Knight Riders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfonso Thomas,,,,Pune Warriors India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nuwan Kulasekara,,,,Chennai Super Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthew Wade,,,,Delhi Daredevils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dimitri Mascarenhas,,,,Kings XI Punjab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colin Ingram,,,,Delhi Daredevils,,,,,,,,,,,,,,,,,,,,Delhi Capitals,200.0,640.0,Batsman,,,,,,,,,,,,,
Ben Hilfenhaus,,,,Chennai Super Kings,,,Chennai Super Kings,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pankaj Singh,,,,Rajasthan Royals,,,,,,,,,,,,,,Royal Challengers Bangalore,"$50,000","$150,000",,,,,,,,,,,,,,,,,,,,
Rusty Theron,,,,Deccan Chargers,,,,,,,,,,,,,,,,,,,,,,,,30.0,Rajasthan Royals,30.0,,,,,,,,,,
Suraj Randiv,,,,Chennai Super Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Hastings,,,,Kochi Tuskers Kerala,,,Chennai Super Kings[REC],50.0,50.0,,,,,,,,,,,,Kolkata Knight Riders,100.0,130.0,,,,,,,,,,,,,,,,,
Andrew McDonald,,,,Delhi Daredevils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thissara Perera,,,,Kochi Tuskers Kerala,,,,,,,,,,,Chennai Super Kings,50000.0,50000.0,,,,,,,,,,,,,,,,,,,,,,,
Michael Lumb,,,,Deccan Chargers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Klinger,,,,Kochi Tuskers Kerala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johan van der Wath,,,,Royal Challengers Bangalore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moises Henriques,,,,Mumbai Indians,,,Sunrisers Hyderabad,100.0,100.0,,,,,,,,,,,,,,,Kings XI Punjab,100.0,100.0,All-rounder,,,,,,,,,,,,,
George Bailey,,,,Chennai Super Kings,,,Kings XI Punjab,200.0,325.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennai Super Kings,"$50,000","$50,000"
Roelof van der Merwe,,,,Delhi Daredevils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luke Pomersbach,,,,Royal Challengers Bangalore,,,,,,,,,,,,,,Kings XI Punjab,"$50,000","$300,000",,,,,,,,,,,,,,,,,,,,
Rilee Rossouw,,,,Royal Challengers Bangalore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nuwan Pradeep,,,,Royal Challengers Bangalore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Lynn,,,,Deccan Chargers,,,Kolkata Knight Riders[RTM],50.0,130.0,,,,,,,,,,,,,,,,,,,,,,Batsman,200.0,Kolkata Knight Riders,960.0,,,,,,
Travis Birt,,,,Delhi Daredevils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Rimmington,,,,Kings XI Punjab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Vandiar,,,,Royal Challengers Bangalore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aiden Blizzard,,,,Mumbai Indians,,,,,,,,,,,,,,,,,,,,,,,,30.0,Mumbai Indians,30.0,,,,,,,,,,
Robert Frylinck,,,,Delhi Daredevils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephen O'Keefe,,,,Kochi Tuskers Kerala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virender Sehwag,,,,,,,Kings XI Punjab,200.0,320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murali Vijay,,,,,,,Delhi Daredevils,200.0,500.0,,,,,,,,,,,,,,,,,,,50.0,Kings XI Punjab,300.0,Batsman,200.0,Chennai Super Kings,200.0,,,,,,
Faf du Plessis,,,,,,,Chennai Super Kings,150.0,475.0,,,,,,,,,,,,,,,,,,,,,,Batsman,150.0,Chennai Super Kings[RTM],160.0,,,,,,
Jean-Paul Duminy,,,,,,,Delhi Daredevils,100.0,220.0,,,,,,,,,,,,,,,,,,,,,,All-Rounder,100.0,Mumbai Indians,100.0,,,,,,
Dwayne Smith,,,,,,,Chennai Super Kings,150.0,450.0,,,,,,,,,,,,Gujarat Lions,50.0,230.0,,,,,,,,,,,,,,,Deccan Chargers,"$100,000","$100,000"
Quinton de Kock,,,,,,,Delhi Dardevils,100.0,350.0,,,,,,,,,Sunrisers Hyderabad,"$20,000","$20,000",,,,,,,,,,,Wicketkeeper,200.0,Royal Challengers Bangalore,280.0,,,,,,
Albie Morkel,,,,,,,Royal Challengers Bangalore,150.0,240.0,Chennai Super Kings,225.0,675.0,South Africa,Allrounder,,,,,,,,,,,,,,30.0,Delhi Daredevils,30.0,,,,,,,,,,
Thisara Perera,,,,,,,Kings XI Punjab,50.0,160.0,,,,,,,,,Sunrisers Hyderabad,"$50,000","$675,000",Rising Pune Supergiant,100.0,100.0,,,,,,,,,,,,Mumbai Indians,"$50,000","$650,000",,,
Bhuvneshwar Kumar,,,,,,,Sunrisers Hyderabad,150.0,425.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morne Morkel,,,,,,,Kolkata Knight Riders,150.0,280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravi Rampaul,,,,,,,Royal Challengers Bangalore,50.0,90.0,,,,,,,,,Royal Challengers Bangalore,"$50,000","$290,000",,,,,,,,,,,,,,,,,,,,
Mohammed Shami,,,,,,,Delhi Dardevils,100.0,425.0,,,,,,,,,,,,,,,,,,,,,,Bowler,100.0,Delhi Daredevils[RTM],300.0,,,,,,
Mitchell Starc,,,,,,,Royal Challengers Bangalore,200.0,500.0,,,,,,,,,,,,,,,,,,,,,,Bowler,200.0,Kolkata Knight Riders,940.0,,,,,,
Ranganath Vinay Kumar,,,,,,,Kolkata Knight Riders,150.0,280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rahul Sharma,,,,,,,Delhi Daredevils,50.0,190.0,,,,,,,,,,,,,,,,,,,30.0,Chennai Super Kings,30.0,,,,,,,,,,
Nic Maddinson,,,,,,,Royal Challengers Bangalore,50.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brendan Taylor,,,,,,,Sunrisers Hyderabad,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenn Maxwell,,,,,,,Kings XI Punjab,100.0,600.0,,,,,,,,,Mumbai Indians,"$200,000","$1,000,000",,,,,,,,,,,All-Rounder,200.0,Delhi Daredevils,900.0,,,,,,
Laxmi Ratan Shukla,,,,,,,Delhi Daredevils,50.0,150.0,,,,,,,,,,,,,,,,,,,30.0,Sunrisers Hyderabad,30.0,,,,,,,,,,
Andre Russell,,,,,,,Kolkata Knight Riders[REC],50.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,Delhi Daredevils,"$50,000","$450,000",,,
Parvinder Awana,,,,,,,Kings XI Punjab [RTM],50.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohit Sharma,,,,,,,Chennai Super Kings,100.0,200.0,,,,,,,,,,,,Kings XI Punjab,150.0,650.0,Chennai Super Kings,50.0,500.0,Bowler,,,,Bowler,150.0,Kings XI Punjab[RTM],240.0,,,,,,
Samuel Badree,,,,,,,Chennai Super Kings,30.0,30.0,,,,,,,,,,,,Royal Challengers Bangalore,50.0,50.0,,,,,,,,,,,,,,,,,
Yalaka Venugopal Rao,,,,,,,Sunrisers Hyderabad,30.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Neesham,,,,,,,Delhi Daredevils,30.0,100.0,,,,,,,,,,,,,,,,,,,30.0,Kolkata Knight Riders,50.0,,,,,,,,,,
Ben Cutting,,,,,,,Rajasthan Royals,50.0,80.0,,,,,,,,,,,,Sunrisers Hyderabad,50.0,50.0,,,,,,,,All-Rounder,100.0,Mumbai Indians,220.0,,,,,,
Josh Hazlewood,,,,,,,Mumbai Indians,50.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Holder,,,,,,,Sunrisers Hyderabad,50.0,75.0,,,,,,,,,Chennai Super Kings,"$20,000","$20,000",Kolkata Knight Riders,50.0,70.0,,,,,,,,,,,,,,,,,
Kane Richardson,,,,,,,Rajasthan Royals,100.0,100.0,,,,,,,,,Pune Warriors India,"$100,000","$700,000",Royal Challengers Bangalore,200.0,200.0,,,,,,,,,,,,,,,,,
Tim Southee,,,,,,,Rajasthan Royals,50.0,120.0,,,,,,,,,,,,Mumbai Indians,100.0,250.0,,,,,,,,Bowler,100.0,Royal Challengers Bangalore,100.0,,,,,,
Patrick Cummins,,,,,,,Kolkata Knight Riders[REC],100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marchant de Lange,,,,,,,Mumbai Indians[REC],30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,Kolkata Knight Riders,"$50,000","$50,000",,,
Krishmar Santokie,,,,,,,Mumbai Indians[REC],30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayank Agarwal,,,,,,,Delhi Daredevils,10.0,160.0,,,,,,,,,,,,,,,,,,,,,,Batsman,20.0,Kings XI Punjab,100.0,,,,,,
Srikkanth Anirudha,,,,,,,Sunrisers Hyderabad,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baba Aparajith,,,,,,,Chennai Super Kings,10.0,10.0,,,,,,,,,,,,Rising Pune Supergiant,10.0,10.0,,,,,,,,,,,,,,,,,
Unmukt Chand,,,,,,,Rajasthan Royals,30.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kedar Jadhav,,,,,,,Delhi Daredevils[RTM],30.0,200.0,,,,,,,,,,,,,,,,,,,,,,All-Rounder,200.0,Chennai Super Kings,780.0,,,,,,
Manprit Juneja,,,,,,,Sunrisers Hyderabad,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gurkeerat Singh,,,,,,,Kings XI Punjab,20.0,130.0,,,,,,,,,,,,,,,Royal Challengers Bangalore,50.0,50.0,All-rounder,,,,All-Rounder,50.0,Delhi Daredevils,75.0,,,,,,
Manish Pandey,,,,,,,Kolkata Knight Riders,20.0,170.0,,,,,,,,,,,,,,,,,,,,,,Batsman,100.0,Sunrisers Hyderabad,1100.0,,,,,,
KL Rahul,,,,,,,Sunrisers Hyderabad,10.0,100.0,,,,,,,,,,,,,,,,,,,,,,Batsman,200.0,Kings XI Punjab,1100.0,,,,,,
Suryakumar Yadav,,,,,,,Kolkata Knight Riders,20.0,70.0,,,,,,,,,,,,,,,,,,,,,,Batsman,30.0,Mumbai Indians,320.0,,,,,,
Vijay Zol,,,,,,,Royal Challengers Bangalore,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ankush Bains,,,,,,,Rajasthan Royals,10.0,10.0,,,,,,,,,,,,Rising Pune Supergiant,10.0,10.0,Delhi Capitals,20.0,20.0,Wicketkeeper,10.0,Chennai Super Kings,10.0,,,,,,,,,,
Manvinder Bisla,,,,,,,Kolkata Knight Riders,30.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Debabrata Das,,,,,,,Kolkata Knight Riders[REC],20.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Dunk,,,,,,,Mumbai Indians[REC],20.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM Gautam,,,,,,,Mumbai Indians,20.0,20.0,,,,,,,,,,,,,,,,,,,20.0,Delhi Daredevils,20.0,,,,,,,,,,
Sushant Marathe,,,,,,,Mumbai Indians,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yogesh Takawale,,,,,,,Royal Challengers Bangalore[REC],10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iqbal Abdullah,,,,,,,Rajasthan Royals,30.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajat Bhatia,,,,,,,Rajasthan Royals,30.0,170.0,,,,,,,,,,,,Rising Pune Supergiant,30.0,60.0,,,,,,,,,,,,,,,,,
Kevon Cooper,,,,,,,Rajasthan Royals,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,Rajasthan Royals,"$50,000","$50,000",,,
Mithun Manhas,,,,,,,Chennai Super Kings,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parvez Rasool,,,,,,,Sunrisers Hyderabad,20.0,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandeep Singh,,,,,,,Kings XI Punjab,30.0,80.0,,,,,,,,,,,,,,,,,,,,,,Batsman,50.0,Royal Challengers Bangalore,140.0,,,,,,
Ryan Ten Doeschate,,,,,,,Kolkata Knight Riders,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abu Nechim Ahmed,,,,,,,Royal Challengers Bangalore,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jasprit Bumrah,,,,,,,Mumbai Indians,20.0,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siddarth Kaul,,,,,,,Delhi Daredevils,20.0,45.0,,,,,,,,,,,,,,,,,,,10.0,Sunrisers Hyderabad,10.0,,,,,,,,,,
Dhawal Kulkarni,,,,,,,Rajasthan Royals,30.0,110.0,,,,,,,,,,,,Gujarat Lions,200.0,230.0,,,,,,,,Bowler,50.0,Rajasthan Royals[RTM],75.0,,,,,,
Ishwar Pandey,,,,,,,Chennai Super Kings,10.0,150.0,,,,,,,,,,,,Rising Pune Supergiant,20.0,20.0,,,,,,,,,,,,,,,,,
Prasanth Parameswaran,,,,,,,Sunrisers Hyderabad,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandeep Sharma,,,,,,,Kings XI Punjab,30.0,85.0,,,,,,,,,,,,,,,,,,,,,,Bowler,50.0,Sunrisers Hyderabad,300.0,,,,,,
Rahul Shukla,,,,,,,Delhi Daredevils,20.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anureet Singh,,,,,,,Kings XI Punjab,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,Bowler,30.0,Rajasthan Royals,30.0,,,,,,
Shreyas Gopal,,,,,,,Mumbai Indians,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,All-Rounder,20.0,Rajasthan Royals,20.0,,,,,,
Shadab Jakati,,,,,,,Royal Challengers Bangalore,20.0,20.0,,,,,,,,,,,,Gujarat Lions,20.0,20.0,,,,,,,,,,,,,,,,,
Shahbaz Nadeem,,,,,,,Delhi Daredevils[RTM],30.0,85.0,,,,,,,,,,,,,,,,,,,,,,Bowler,40.0,Delhi Daredevils,320.0,,,,,,
Yuzvendra Chahal,,,,,,,Royal Challengers Bangalore,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,Bowler,200.0,Royal Challengers Bangalore [RTM],600.0,,,,,,
Kuldeep Yadav,,,,,,,Kolkata Knight Riders,10.0,40.0,,,,,,,,,,,,,,,,,,,,,,Bowler,150.0,Kolkata Knight Riders [RTM],580.0,,,,,,
Karun Nair,,,,,,,Rajasthan Royals,10.0,75.0,,,,,,,,,,,,Delhi Daredevils,10.0,400.0,,,,,,,,Batsman,50.0,Kings XI Punjab,560.0,,,,,,
Apoorv Vijay Wankhade,,,,,,,Mumbai Indians[REC],10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amit Paunikar,,,,,,,Sunrisers Hyderabad,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dishant Yagnik,,,,,,,Rajasthan Royals,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akshar Patel,,,,,,,Kings XI Punjab,20.0,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalaj Saxena,,,,,,,Mumbai Indians,20.0,90.0,,,,,,,,,,,,,,,Delhi Capitals,20.0,20.0,All-rounder,10.0,Royal Challengers Bangalore,10.0,,,,,,,,,,
Vijay Shankar,,,,,,,Chennai Super Kings,10.0,10.0,,,,,,,,,,,,Sunrisers Hyderabad,10.0,35.0,,,,,,,,All-Rounder,40.0,Delhi Daredevils,320.0,,,,,,
Beuran Hendricks,,,,,,,Kings XI Punjab,30.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vikramjeet Malik,,,,,,,Rajasthan Royals,20.0,20.0,,,,,,,,,,,,Royal Challengers Bangalore,20.0,20.0,,,,,,,,,,,,,,,,,
Ronit More,,,,,,,Chennai Super Kings,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harshal Patel,,,,,,,Royal Challengers Bangalore[RTM],30.0,40.0,,,,,,,,,,,,,,,,,,,,,,All-Rounder,20.0,Delhi Daredevils,20.0,,,,,,
Veer Pratap Singh,,,,,,,Kolkata Knight Riders,20.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashish Reddy,,,,,,,Sunrisers Hyderabad[REC],20.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pawan Suyal,,,,,,,Mumbai Indians,10.0,10.0,,,,,,,,,,,,Delhi Daredevils,10.0,10.0,,,,,,,,,,,,,,,,,
Sandeep Warrier,,,,,,,Royal Challengers Bangalore,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ankit Nagendra Sharma,,,,,,,Rajasthan Royals[REC],10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ricky Bhui,,,,,,,Sunrisers Hyderabad[REC],10.0,10.0,,,,,,,,,,,,,,,,,,,,,,Batsman,20.0,Sunrisers Hyderabad,20.0,,,,,,
Jayant Yadav,,,,,,,Delhi Daredevils[REC],10.0,10.0,,,,,,,,,,,,,,,,,,,,,,All-Rounder,50.0,Delhi Daredevils,50.0,,,,,,
Sachin Rana,,,,,,,Royal Challengers Bangalore[REC],20.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HS Sharath,,,,,,,Delhi Daredevils[REC],10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shivam Sharma,,,,,,,Kings XI Punjab[REC],10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deepak Hooda,,,,,,,Rajasthan Royals[REC],10.0,40.0,,,,,,,,,,,,Sunrisers Hyderabad,10.0,420.0,,,,,,,,All-Rounder,40.0,Sunrisers Hyderabad[RTM],360.0,,,,,,
Chama Milind,,,,,,,Sunrisers Hyderabad[REC],10.0,10.0,,,,,,,,,,,,Delhi Daredevils,10.0,10.0,,,,,,,,,,,,,,,,,
Shardul Thakur,,,,,,,Kings XI Punjab[REC],10.0,20.0,,,,,,,,,,,,,,,,,,,,,,Bowler,75.0,Chennai Super Kings,260.0,,,,,,
Tanmay Mishra,,,,,,,Royal Challengers Bangalore[REC],10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sayan Sekhar Mondal,,,,,,,Kolkata Knight Riders[REC],10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karanveer Singh,,,,,,,Kings XI Punjab[REC],10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milind Kumar,,,,,,,Delhi Daredevils[REC],10.0,10.0,,,,,,,,,,,,,,,Royal Challengers Bangalore,20.0,20.0,All-rounder,,,,,,,,,,,,,
Shane Warne,,,,,,,,,,Rajasthan Royals,450.0,450.0,Australia,Bowler,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahendra Singh Dhoni,,,,,,,,,,Chennai Super Kings,400.0,1500.0,India,Wicketkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,
Shoaib Akhtar,,,,,,,,,,Kolkata Knight Riders,250.0,425.0,Pakistan,Bowler,,,,,,,,,,,,,,,,,,,,,,,,,,
Anil Kumble,,,,,,,,,,Royal Challengers Bangalore,250.0,500.0,India,Bowler,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenn McGrath,,,,,,,,,,Delhi Daredevils,350.0,350.0,Australia,Bowler,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohammed Yousuf,,,,,,,,,,Unsold,350.0,,Pakistan,Batsman,,,,,,,,,,,,,,,,,,,,,,,,,,
Harbhajan Singh,,,,,,,,,,Mumbai Indians,250.0,850.0,India,Bowler,,,,,,,,,,,,,,,,,Bowler,200.0,Chennai Super Kings,200.0,,,,,,
Sanath Jayasuriya,,,,,,,,,,Mumbai Indians,250.0,975.0,Sri Lanka,Allrounder,,,,,,,,,,,,,,,,,,,,,,,,,,
Ricky Ponting,,,,,,,,,,Kolkata Knight Riders,335.0,400.0,Australia,Batsman,,,,Mumbai Indians,"$400,000","$400,000",,,,,,,,,,,,,,,,,,,,
Matthew Hayden,,,,,,,,,,Chennai Super Kings,225.0,375.0,Australia,Batsman,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Oram,,,,,,,,,,Chennai Super Kings,200.0,675.0,New Zealand,Allrounder,,,,Mumbai Indians,"$50,000","$50,000",,,,,,,,,,,,,,,,,,,,
Stephen Fleming,,,,,,,,,,Chennai Super Kings,350.0,350.0,New Zealand,Batsman,,,,,,,,,,,,,,,,,,,,,,,,,,
Herschelle Gibbs,,,,,,,,,,Deccan Chargers,250.0,575.0,South Africa,Batsman,,,,,,,,,,,,,,,,,,,,,Mumbai Indians,"$50,000","$50,000",,,
Chris Gayle,,,,,,,,,,Kolkata Knight Riders,250.0,800.0,West Indies,Allrounder,,,,,,,,,,,,,,,,,Batsman,200.0,Kings XI Punjab,200.0,,,,,,
Shoaib Malik,,,,,,,,,,Delhi Daredevils,300.0,500.0,Pakistan,Allrounder,,,,,,,,,,,,,,,,,,,,,,,,,,
Shahid Afridi,,,,,,,,,,Deccan Chargers,225.0,675.0,Pakistan,Allrounder,,,,,,,,,,,,,,,,,,,,,,,,,,
Younis Khan,,,,,,,,,,Rajasthan Royals,225.0,225.0,Pakistan,Batsman,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohammad Asif,,,,,,,,,,Delhi Daredevils,225.0,650.0,Pakistan,Bowler,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Boucher,,,,,,,,,,Royal Challengers Bangalore,200.0,450.0,South Africa,Wicketkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,
Kamran Akmal,,,,,,,,,,Rajasthan Royals,150.0,150.0,Pakistan,Wicketkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,
Tatenda Taibu,,,,,,,,,,Kolkata Knight Riders,125.0,125.0,Zimbabwe,Wicketkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaun Pollock,,,,,,,,,,Mumbai Indians,200.0,550.0,South Africa,Allrounder,,,,,,,,,,,,,,,,,,,,,,,,,,
Farveez Maharoof,,,,,,,,,,Delhi Daredevils,150.0,225.0,Sri Lanka,Allrounder,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramnaresh Sarwan,,,,,,,,,,Kings XI Punjab,225.0,225.0,West Indies,Batsman,,,,,,,,,,,,,,,,,,,,,,,,,,
Simon Katich,,,,,,,,,,Kings XI Punjab,200.0,200.0,Australia,Batsman,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Langer,,,,,,,,,,Rajasthan Royals,200.0,200.0,Australia,Batsman,,,,,,,,,,,,,,,,,,,,,,,,,,
Shivnarine Chanderpaul,,,,,,,,,,Royal Challengers Bangalore,200.0,200.0,West Indies,Batsman,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashwell Prince,,,,,,,,,,Unsold,175.0,,South Africa,Batsman,,,,,,,,,,,,,,,,,,,,,,,,,,
Wasim Jaffer,,,,,,,,,,Royal Challengers Bangalore,150.0,150.0,India,Batsman,,,,,,,,,,,,,,,,,,,,,,,,,,
Loots Bosman,,,,,,,,,,Mumbai Indians,150.0,175.0,South Africa,Batsman,,,,,,,,,,,,,,,,,,,,,,,,,,
Suresh Raina,,,,,,,,,,Chennai Super Kings,125.0,650.0,India,Batsman,,,,,,,,,,,,,,,,,,,,,,,,,,
Chamara Silva,,,,,,,,,,Deccan Chargers,100.0,100.0,Sri Lanka,Batsman,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Bracken,,,,,,,,,,Royal Challengers Bangalore,225.0,325.0,Australia,Bowler,,,,,,,,,,,,,,,,,,,,,,,,,,
R P Singh,,,,,,,,,,Deccan Chargers,200.0,875.0,India,Bowler,,,,,,,,,,,,,,,,,,,,,,,,,,
Makhaya Ntini,,,,,,,,,,Chennai Super Kings,200.0,200.0,South Africa,Bowler,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasith Malinga,,,,,,,,,,Mumbai Indians,200.0,350.0,Sri Lanka,Bowler,,,,,,,,,,Mumbai Indians,200.0,200.0,Bowler,,,,,,,,,,,,,
Chaminda Vaas,,,,,,,,,,Deccan Chargers,200.0,200.0,Sri Lanka,Bowler,,,,,,,,,,,,,,,,,,,,,,,,,,
Umar Gul,,,,,,,,,,Kolkata Knight Riders,150.0,150.0,Pakistan,Bowler,,,,,,,,,,,,,,,,,,,,,,,,,,
